loan_amnt,term,installment,emp_length,dti,open_acc,revol_util,total_acc,mort_acc,log_annual_inc,fico_score,log_revol_bal,charged_off
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33950,36,1331.78,3,15.99,4,60.5,17,4,5.09691348735001,712,3.80325221143045,1
9000,36,303.21,6,37.25,7,76.2,26,5,4.69897869013879,662,4.0861461906859,0
3000,36,106.2,2,35.52,14,74.5,42,0,4.47713573096112,672,4.06224344102647,0
28000,36,879.88,10,12.43,12,80.8,47,3,5.43933427308005,697,4.75036952183894,0
25000,36,873.88,9,7.33,8,22.3,10,1,4.91645921269355,712,3.68592079219453,0
18625,36,654.71,3,20.47,9,18.9,21,0,4.71601169537145,707,3.95395288323192,1
6000,36,210.92,3,0.91,3,78.9,20,3,4.65322216465659,697,3.04336227802112,0
2500,36,87.89,3,5.25,9,36.9,19,0,4.54408045258678,672,3.35198945543563,0
34000,60,819.43,2,12.09,4,64.1,8,1,5.07750598534215,677,4.40790054014263,0
5000,36,174.78,3,17.42,5,50.1,8,0,4.54408045258678,667,3.79692107533016,0
35000,36,1179.12,1,9.48,11,12.8,23,6,5.30103216713096,742,3.76019622945513,0
24450,36,865.52,8,13.56,13,82,25,0,4.8574109036345,662,4.46545721057571,0
5000,36,170.07,8,8.3,6,55.2,16,2,5.0000043429231,682,3.46642272243379,0
32000,60,901.92,2,21.27,14,29.7,34,0,4.92942403503108,732,4.25796640950817,0
5000,36,177,8,21.82,12,79.5,32,4,4.43137984884193,687,4.22481783739504,0
28000,36,864.44,10,3.09,11,2.2,26,4,5.17609415434257,837,3.24303804868629,0
20000,60,486.26,10,33.6,11,49.7,26,5,4.90309541563903,727,5.34285084198002,0
5000,36,162.49,4,20.85,5,37,16,0,4.54408045258678,747,3.87575557925805,0
28000,36,858.05,10,14.23,24,15.8,36,2,5.17609415434257,777,5.17218244273237,0
22675,36,865.86,0,25.24,12,83.4,40,5,5.02119343518816,677,4.46137845642507,1
14000,36,485.25,5,12.26,13,36.4,38,0,4.87506705394618,667,3.73671513360561,0
18150,36,661.1,3,14.09,6,42.7,8,0,4.70342035732524,732,3.80692577688373,0
35000,36,1250.29,8,0.89,10,29.2,17,1,5.77815197420717,747,3.94453202099198,0
8000,36,279.64,10,17.3,12,72.2,54,2,5.04139663327193,667,4.02897770520877,1
9600,36,332.75,10,12,24,56.7,48,4,4.81292003804502,687,4.35934211677236,0
16000,36,549.26,10,7.9,8,85.5,20,0,5.1461311377706,662,4.20365829945624,0
5000,36,170.07,NaN,20.75,11,76.9,15,0,4.30862843259905,702,4.08375337757001,1
25000,36,777.55,3,11.38,7,15.6,22,3,5.04139663327193,787,3.90966298515401,1
14900,36,553.67,2,6.85,4,65.1,10,0,4.64346254670316,702,4.07121901839997,0
35000,60,1049.17,1,20.56,6,33.8,15,0,5.07918486515322,662,3.69072754387036,0
9100,36,325.08,2,22.4,10,75.1,25,2,5.0000043429231,692,4.77878774897215,1
5600,36,181.99,8,9.92,13,21.9,30,2,4.77815848856469,722,3.64463550376815,0
10000,36,314.25,10,1.67,6,12.8,15,2,4.71601169537145,787,3.73917663191073,0
20000,36,686.57,10,9.67,10,72.9,15,0,5.39794174584649,717,4.63202176705472,0
25000,60,704.62,4,21.24,24,53.1,30,0,4.69897869013879,687,4.48425711975576,1
9325,36,351.28,0,13.41,8,31.1,9,0,4.81292003804502,667,3.7125655278733,0
35000,60,986.47,10,4.18,9,52.1,19,3,5.23299865011854,697,3.931457870689,1
11175,36,444.26,9,7.37,6,61.8,10,0,4.51852710011733,677,3.83670379908973,0
11200,60,296.67,10,23.53,8,47.6,13,1,4.643502025328,677,3.47741068790725,0
8350,36,298.29,8,14.69,6,20,10,1,4.95308768228176,687,2.74896286125616,0
2750,36,97.35,2,31.81,19,31.2,38,3,4.65945029533636,722,3.73782850589578,0
35000,60,899.09,6,7.38,15,13.9,38,0,5.2671740759344,782,3.8744238305865,0
24000,36,891.81,10,17.75,14,3.5,29,0,5.24105064374417,702,2.74663419893757,0
13625,36,501.1,9,14.91,9,28.7,9,0,4.62325963061961,702,3.48798633112939,0
21000,36,682.46,3,11.08,25,65.5,38,8,5.69897087292411,737,4.88114490113888,0
24925,60,649.87,10,19.24,19,6.5,30,3,4.79239869419147,802,3.7670073639498,1
12175,36,484.02,5,19.07,11,23.6,21,0,4.64346254670316,687,3.54381980514265,0
5000,36,182.12,3,1.58,5,64.4,11,1,5.9030905298597,677,3.61510798744319,0
30000,36,1054.57,2,2.24,8,74.8,25,0,5.65321347887312,687,4.39760981937796,1
15000,60,397.33,3,20.35,16,52.9,25,0,5.08990864227449,692,4.26042917557793,0
16000,36,544.21,1,1.38,3,21.1,7,1,5.06271732765061,762,3.60368554961469,0
18000,60,462.39,0,32.92,9,44.2,18,0,4.84510424417682,667,3.65829765030818,1
8525,36,307.61,7,3.23,6,64.8,8,0,4.95424733490676,667,3.74107277237332,0
18000,36,662,1,14.96,9,7.3,26,2,4.77815848856469,667,2.74115159885178,0
16000,36,610.97,7,31.95,10,67.1,26,5,4.69897869013879,672,4.45412806386842,1
20000,36,693.21,6,27.12,11,47.7,26,0,4.77815848856469,692,3.61710523050237,0
10000,60,243.13,10,11.9,10,0.8,43,5,4.91381914862559,687,1.79239168949825,0
35000,60,912.55,1,5.62,6,21.1,17,0,5.30103216713096,737,4.09201847075279,0
25075,36,881.44,10,10.89,8,37.5,24,3,4.84510424417682,782,4.20571849810309,0
16000,36,554.57,2,5.5,6,53.5,18,4,5.04139663327193,702,3.90708874507429,1
35000,36,1287.22,2,8.03,10,15.5,29,2,5.07918486515322,762,3.73191094211687,1
4200,36,151.55,10,10.91,9,78.6,25,6,5.07918486515322,662,3.89120282726029,1
20000,36,673.79,10,12.03,9,62.1,14,3,4.90309541563903,687,4.10893692358826,1
28000,36,864.44,4,3.25,7,8.6,25,4,5.39794174584649,822,4.69435946790221,0
3200,36,112.49,10,29.19,5,38,19,0,4.60207084855429,682,3.62096843564429,0
35000,36,1274.84,4,9.58,7,0.1,21,8,5.08796942945653,712,1.47712125471966,0
12300,60,339.65,3,5.81,4,47.4,10,0,4.56062387454993,692,3.93135615046792,1
27650,36,1055.83,10,6.77,12,51.7,26,2,4.97772817678564,692,3.9711366294768,1
25000,36,823.69,10,12.18,8,79.7,17,2,4.89210017053276,692,4.53511682080295,1
1500,36,47.14,10,17.17,10,55,22,2,4.77085937250318,702,3.91629599456313,0
25000,36,910.6,1,11.76,5,63.1,13,0,4.84510424417682,707,4.39682678926878,0
18000,36,601.22,NaN,27.76,8,21.3,24,0,4.76524373666711,772,4.82606183849294,0
15000,36,519.91,5,11.77,12,86.8,14,2,4.68125028508304,677,4.45460097709776,0
7000,36,246.07,3,11.81,13,9,41,12,4.97313247372918,677,3.03140846425162,0
24525,36,876.1,10,5.3,18,16.1,58,2,5.54406928518988,667,3.65050179487836,0
10000,36,351.53,10,6.91,6,47.2,29,4,4.81292003804502,692,2.67486114073781,0
20000,36,668.02,4,4.01,7,85.3,20,3,5.65321347887312,687,4.32870571156887,0
9900,36,333.53,10,9.82,4,84.6,6,0,5.07918486515322,682,3.94001815500766,0
10000,36,336.9,4,13.17,14,29.1,26,0,4.60207084855429,727,4.2074997233073,0
